UPM;NVIVI;NHOGA;AÑO;DPTO;AREA;HOMBRES;MUJERES;TOTAL;V01;V02A;V02B;V03;V04;V05;V06;V07;V07A;V08;V09;V10;V11A;V11B;V12;V13;V14A;V14B;V15;V16;V17;V18;V19;V20;V21;V21G;V23A1;V23A2;V23B;V23C1;V23C2;V2401;V2402;V2403;V2404;V2404A;V2404B;V2405;V2406;V2407;V2408;V2409;V2410;V2411;V2412;V2413;V2414;THOGAV;FACTOR;POBREZAI;POBNOPOI
146;55;1;2025;0;1;2;3;5;1;5;4;4;5;1;1;1;2;1;2;1;6;1;1;1;1;2;2;4; ;3700000; ; ;6; ;1;1;1;1;6;6;1;1;1;6;1;1;6;1;1;6;1;1;1;1;6;4;122;3;0
146;61;1;2025;0;1;2;0;2;1;4;2;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;1500000; ;6; ;1;6;1;1;6;1;1;1;1;1;6;1;6;6;1;6;1;6;6;1;6;3;124;3;0
146;66;1;2025;0;1;1;3;4;2;3;2;4;5;6;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;1650000; ; ;6; ;6;6;1;1;6;6;1;1;6;1;6;1;6;1;1;6;1;6;6;1;1;4;135;3;0
161;4;1;2025;0;1;0;1;1;1;3;2;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;1500000; ;1;250000;6;6;6; ; ;1;1;1;1;6;6;1;6;6;1;6;1;6;1;6;6;1;71;3;0
161;5;1;2025;0;1;1;1;2;1;2;1;4;5;1;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;1700000; ; ;1;170000;1;1;1;1;6;1;1;1;1;1;6;1;6;6;1;6;6;6;1;1;6;2;105;3;0
161;12;1;2025;0;1;2;0;2;2;4;2;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;1000000; ;1;99999999999;1;6;1;1;6;1;1;1;1;6;6;1;6;1;1;6;1;6;1;1;6;3;100;3;0
161;14;1;2025;0;1;1;1;2;1;2;1;4;5;6;1;1;2;11;7;1;1;1;1;1;1;2;2;1;1; ;800000; ;1;2200000;6;6;1;1;6;1;6;1;1;6;6;1;6;6;1;6;1;1;1;6;6;2;82;3;0
161;22;1;2025;0;1;0;2;2;1;5;4;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;2500000; ; ;6; ;1;1;1;1;6;6;1;1;1;6;6;1;6;6;1;6;1;6;1;1;6;4;66;3;0
161;23;1;2025;0;1;2;1;3;1;6;4;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;7000000; ;6; ;1;1;1;1;6;1;1;1;1;1;6;1;6;6;1;6;1;1;1;1;6;2;104;3;0
161;38;1;2025;0;1;1;2;3;1;3;2;4;5;1;1;1;1;11;7;1;6;1;1;1;1;3;2;4; ;2000000; ; ;6; ;1;1;1;1;6;1;1;1;1;1;6;1;6;6;1;6;1;1;1;1;6;2;74;3;0
161;40;1;2025;0;1;2;1;3;1;4;2;4;5;1;1;1;2;1;2;1;6;1;1;1;1;4;2;6; ; ;2000000; ;6; ;6;6;1;1;6;1;1;1;1;1;6;1;6;6;1;6;1;1;1;6;6;2;93;3;0
161;48;1;2025;0;1;2;1;3;1;4;2;4;5;6;1;1;2;1;2;1;6;1;1;1;1;2;2;1;1; ;3000000; ;1;3500000;1;1;1;1;6;1;1;1;1;1;6;1;6;1;1;6;1;1;1;1;6;2;90;3;0
161;56;1;2025;0;1;0;1;1;1;3;1;4;5;6;1;1;2;1;2;1;6;1;1;1;1;2;2;1;1; ;2000000; ;1;6000000;1;6;1;1;6;1;1;1;1;6;6;1;6;6;1;6;1;1;1;1;6;1;96;3;0
177;1;1;2025;0;1;1;2;3;1;3;2;4;5;1;1;1;2;11;7;1;6;1;1;1;6;4;2;4; ;1400000; ; ;6; ;1;6;1;1;6;1;1;1;1;1;6;1;6;1;1;6;1;6;1;1;1;2;108;3;0
177;7;1;2025;0;1;0;1;1;2;3;2;4;5;6;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;2300000; ; ;6; ;6;6;1;1;6;1;1;1;1;6;6;1;6;1;1;6;1;1;1;1;6;1;92;3;0
